               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057876,            0.024469,            0.067959,            0.011271,             0.90834,            0.053711,            0.028748,            0.023843,            0.008037,            0.045748,            0.070201,            0.003311,            0.003311
                   1,            0.036171,            0.018619,            0.061945,            0.017043,             0.93926,            0.059115,            0.035726,            0.017413,           0.0057866,            0.043555,            0.040195,           0.0066377,           0.0066377
                   2,            0.037063,            0.017558,            0.063956,           0.0032663,             0.70014,            0.037283,            0.017717,            0.031497,           0.0087148,            0.043678,            0.010182,           0.0099579,           0.0099579
                   3,            0.035335,            0.017926,            0.062405,             0.15887,            0.091102,            0.074389,            0.037954,             0.02082,           0.0057464,            0.041644,           0.0099703,           0.0099703,           0.0099703
                   4,            0.032621,            0.016447,            0.060955,             0.48632,             0.10859,              0.1182,            0.068816,            0.016445,           0.0053325,            0.039999,           0.0099703,           0.0099703,           0.0099703
                   5,            0.028902,            0.015093,            0.057793,             0.36647,             0.29323,             0.18678,             0.11627,            0.015151,           0.0040933,             0.03778,           0.0099604,           0.0099604,           0.0099604
                   6,            0.026131,             0.01419,            0.055388,             0.34781,              0.3764,             0.20624,             0.13538,            0.015146,           0.0045336,            0.037575,           0.0099505,           0.0099505,           0.0099505
                   7,            0.026966,            0.013961,            0.056188,             0.33455,             0.47607,             0.24803,             0.16773,            0.011859,           0.0038007,            0.035311,           0.0099406,           0.0099406,           0.0099406
                   8,            0.027228,            0.014212,             0.05498,             0.32449,             0.37529,             0.21585,             0.13784,            0.016071,           0.0043429,            0.034254,           0.0099307,           0.0099307,           0.0099307
                   9,             0.02643,            0.014116,             0.05394,             0.29671,             0.50776,             0.32169,             0.21906,             0.01282,            0.003778,            0.032473,           0.0099208,           0.0099208,           0.0099208
                  10,            0.025834,            0.013312,            0.052829,             0.27837,             0.55243,              0.3327,             0.21239,            0.014412,           0.0040599,            0.030698,           0.0099109,           0.0099109,           0.0099109
                  11,            0.023271,            0.013094,            0.048464,             0.36804,             0.46892,             0.40506,               0.279,            0.012749,           0.0034815,            0.029515,            0.009901,            0.009901,            0.009901
                  12,             0.02495,            0.013548,            0.050494,             0.36856,             0.64639,             0.42363,              0.2762,            0.013308,           0.0035629,            0.029013,           0.0098911,           0.0098911,           0.0098911
                  13,            0.025531,            0.013298,            0.050108,             0.27239,             0.58732,             0.39551,              0.2611,            0.017066,           0.0044018,            0.030111,           0.0098812,           0.0098812,           0.0098812
                  14,            0.024885,            0.013367,            0.048669,             0.33457,             0.58723,             0.47653,             0.33359,            0.012558,           0.0035049,            0.026165,           0.0098713,           0.0098713,           0.0098713
                  15,            0.025749,            0.013032,            0.048692,             0.39227,             0.66312,             0.53371,             0.36773,            0.012787,           0.0037325,             0.02404,           0.0098614,           0.0098614,           0.0098614
                  16,            0.024533,             0.01281,            0.046025,             0.40063,             0.63428,             0.56382,             0.37478,            0.013095,           0.0037587,            0.023194,           0.0098515,           0.0098515,           0.0098515
                  17,            0.025691,            0.012838,            0.045266,             0.47196,             0.61673,             0.61124,             0.42405,            0.012508,           0.0034734,            0.022884,           0.0098416,           0.0098416,           0.0098416
                  18,            0.022862,            0.012752,            0.043282,              0.5035,             0.70701,             0.63406,             0.43617,            0.011624,           0.0033676,            0.021524,           0.0098317,           0.0098317,           0.0098317
                  19,            0.023493,            0.012648,            0.043575,             0.55009,             0.70901,             0.68845,             0.50796,            0.011981,           0.0033246,            0.019872,           0.0098218,           0.0098218,           0.0098218
                  20,            0.023936,            0.012537,            0.041189,             0.57134,             0.73849,              0.7139,             0.52605,            0.012879,           0.0033656,            0.017974,           0.0098119,           0.0098119,           0.0098119
                  21,            0.023586,             0.01214,            0.041811,             0.57377,             0.71802,             0.73265,             0.52918,            0.013237,           0.0033188,             0.01775,            0.009802,            0.009802,            0.009802
                  22,            0.023848,            0.012601,            0.039993,             0.63407,             0.71669,             0.73768,             0.52685,            0.011964,           0.0034228,            0.019649,           0.0097921,           0.0097921,           0.0097921
                  23,             0.02362,            0.012155,            0.038632,             0.59258,             0.70828,             0.73276,             0.51748,            0.011506,           0.0034804,            0.017797,           0.0097822,           0.0097822,           0.0097822
                  24,            0.024473,            0.012333,            0.039775,             0.76914,             0.71251,             0.81413,             0.57414,            0.013638,           0.0032965,             0.01401,           0.0097723,           0.0097723,           0.0097723
                  25,            0.024094,            0.012318,            0.041312,             0.77423,             0.68818,             0.77889,             0.54855,            0.011642,           0.0037878,            0.016134,           0.0097624,           0.0097624,           0.0097624
                  26,            0.023758,            0.012464,             0.03999,             0.68593,             0.78276,             0.82574,             0.59295,            0.012749,           0.0031654,            0.012926,           0.0097525,           0.0097525,           0.0097525
                  27,            0.023384,            0.012222,            0.038718,             0.73612,             0.80329,             0.84023,             0.58369,            0.012211,           0.0034409,            0.012592,           0.0097426,           0.0097426,           0.0097426
                  28,            0.023306,            0.012171,             0.03472,             0.79768,             0.77445,             0.84929,             0.60704,            0.011781,           0.0033109,            0.013064,           0.0097327,           0.0097327,           0.0097327
                  29,            0.023453,            0.012008,            0.035578,             0.78039,             0.75118,             0.83592,             0.61813,            0.012344,           0.0031945,            0.011722,           0.0097228,           0.0097228,           0.0097228
                  30,            0.022537,            0.012039,            0.035148,             0.74775,             0.77701,             0.83812,             0.61911,            0.011541,           0.0033621,             0.01077,           0.0097129,           0.0097129,           0.0097129
                  31,            0.022348,            0.011902,            0.034661,             0.80628,             0.86217,              0.8955,             0.67349,            0.011244,           0.0032474,           0.0098297,            0.009703,            0.009703,            0.009703
                  32,            0.022651,            0.011974,            0.034644,             0.84036,             0.83785,             0.88747,             0.67585,            0.010638,            0.003141,           0.0095436,           0.0096931,           0.0096931,           0.0096931
                  33,            0.022393,             0.01179,            0.033208,             0.75464,             0.83913,              0.8734,             0.63355,            0.011385,           0.0032523,            0.010283,           0.0096832,           0.0096832,           0.0096832
                  34,             0.02412,            0.012254,            0.035481,             0.78582,             0.81835,             0.85677,             0.63322,            0.012399,           0.0032638,            0.010454,           0.0096733,           0.0096733,           0.0096733
                  35,            0.022229,            0.012158,            0.032043,             0.83204,             0.83202,             0.89142,             0.65561,             0.01163,           0.0031623,            0.008002,           0.0096634,           0.0096634,           0.0096634
                  36,            0.023449,            0.012084,            0.034475,             0.81913,             0.64998,             0.76114,             0.49975,            0.016739,           0.0042548,            0.015569,           0.0096535,           0.0096535,           0.0096535
